"SNo.","Procedure Name","Speciality Classification","Tier","Facility","Ward","Cghs Code No.","Rate (₹)"
"17","Reticulocyte Count","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB014","85.00"
"18","Absolute Eosinophil Count (AEC)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB015","85.00"
"19","Packed Cell Volume (PCV)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB016","43.00"
"20","Peripheral Smear Examination","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB017","85.00"
"21","Smear for Malaria/Filaria Parasite","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB018","85.00"
"22","Bleeding Time","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB019","43.00"
"23","Clotting Time","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB020","43.00"
"24","Osmotic Fragility Test","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB021","255.00"
"25","Bone Marrow Smear Examination","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB022","298.00"
"26","Bone Marrow Smear Examination with Iron Stain","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB023","680.00"
"27","Bone Marrow Smear Examination and Cytochemistry","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB024","10200.00"
"28","Activated Partial Thromboplastin Time (APTT)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB025","247.00"
"29","Rapid Test for Malaria (Card Test)/QBC Malaria Test","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB026","85.00"
"30","Bleeding Disorder Panel- PT, APTT, Thrombin Time Fibrinogen, D-Dimer/ Fibrinogen Degradation Products (FDP)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB027","680.00"
"31","Factor Assays-Factor VIII","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB028","1275.00"
"32","Factor Assays-Factor IX","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB029","1275.00"
"33","Platelet Function Tests","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB030","1075.00"
"34","Tests for Hypercoagulable States- Protein C, Protein S, Antithrombin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB031","2873.00"
"35","Tests for Lupus Anticoagulant","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB032","1105.00"
"36","Tests for Antiphospholipid Antibody IgG, IgM (for Cardiolipin and B2 Glycoprotein 1)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB033","850.00"
"37","Thalassemia Studies (Red Cell Indices and Hb HPLC)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB034","850.00"
"38","Tests for Sickling / Hb HPLC)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB035","850.00"
"39","Blood Group & Rh Type","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB036","77.00"
"40","Cross Match","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB037","170.00"
"41","Coomb-s Test - Direct","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB038","170.00"
"42","Coomb-s Test - Indirect","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB039","213.00"
"43","3 Cell Panel- Antibody Screening for Pregnant Female","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB040","893.00"
"44","11 Cells Panel for Antibody Identification","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB041","1942.00"
"45","Hepatitis B Surface Antigen (HBsAg)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB042","255.00"
"46","Hepatitis C Virus (HCV)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB043","425.00"
"47","Human Immunodeficiency Virus- HIV I and II","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB044","327.00"
"48","Venereal Disease Research Laboratory Test (VDRL)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB045","85.00"
"49","Rh Antibody Titre","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB046","255.00"
"50","Platelet Concentrate Test","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB047","850.00"
"51","Routine - H & E","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB048","463.00"
"52","Special Stain","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB049","170.00"
"53","Histopathology Examination (HPE) - Frozen Section","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB050","1275.00"
"54","Histopathology Examination (HPE) - Paraffin Section","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB051","425.00"
"55","Pap Smear","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB052","340.00"
"56","Body Fluid for Malignant cells","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB053","298.00"
"57","Paroxysmal Nocturnal Haemoglobinuria (PNH) Panel- CD55, CD59","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB054","1275.00"
"58","Blood Glucose Random / Blood Glucose Fasting /Blood Glucose PP","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB055","34.00"
"59","24 Hrs Urine for Proteins, Sodium, Creatinine","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB056","255.00"
"60","Blood Urea Nitrogen (BUN) / Urea","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB057","85.00"
"61","Serum Creatinine","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB058","85.00"
"62","Urine Bile Pigment and Salt","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB059","60.00"
"63","Urine Urobilinogen","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB060","60.00"
"64","Urine Ketones","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB061","60.00"
"65","Urine Occult Blood","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB062","60.00"
"66","Urine Total Proteins","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB063","60.00"
"67","Rheumatoid Factor / Rh Factor Test","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB064","638.00"
"68","Bence Jones Protein","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB065","85.00"
"69","Serum Uric Acid","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB066","128.00"
"70","Serum Bilirubin total & direct","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB067","128.00"
"71","Serum Iron","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB068","213.00"
"72","C-Reactive Protein (CRP)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB069","213.00"
"73","C-Reactive Protein (CRP) Quantitative","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB070","255.00"
"74","Body Fluid (CSF/Ascitic Fluid etc.) Sugar, Protein etc.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB071","255.00"
"75","Albumin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB072","43.00"
"76","Creatinine Clearance","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB073","170.00"
"77","Serum Cholesterol","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB074","128.00"
"78","Total Iron Binding Capacity (TIBC)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB075","255.00"
"79","Glucose (Fasting & PP)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB076","68.00"
"80","Serum Calcium -Total","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB077","128.00"
"81","Serum Calcium - Ionic","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB078","510.00"
"82","Serum Phosphorus","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB079","128.00"
"83","Total Protein Albumin/Globulin Ratio (A/G Ratio)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB080","60.00"
"84","Immunoglobulin G (IgG)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB081","340.00"
"85","Immunoglobulin M(IgM)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB082","340.00"
"86","Immunoglobulin A(IgA)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB083","340.00"
"87","Antinuclear Antibody (ANA)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB084","557.00"
"88","Anti-double stranded DNA (anti-dsDNA)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB085","680.00"
"89","Serum Glutamic Pyruvic Transaminase (SGPT) / Alanine Aminotransferase (ALT)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB086","85.00"
"90","Serum Glutamic Oxaloacetic Transaminase (SGOT) /Aspartate Aminotransferase (AST)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB087","85.00"
"91","Serum Amylase","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB088","255.00"
"92","Serum Lipase","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB089","340.00"
"93","Serum Lactate","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB090","425.00"
"94","Serum Magnesium","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB091","255.00"
"95","Serum Sodium","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB092","102.00"
"96","Serum Potassium","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB093","102.00"
"97","Chloride","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB094","128.00"
"98","Serum Bicarbonate","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB095","170.00"
"99","Serum Ammonia","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB096","570.00"
"100","Anaemia Profile (Hb, Serum Iron, TIBC, Ferritin, Transferrin Saturation,Stool Occult Blood, CBC, Reticulocyte Count)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB097","1122.00"
"101","Serum Testosterone","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB098","340.00"
"102","Imprint Smear from Endoscopy","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB099","850.00"
"103","Triglycerides","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB100","128.00"
"104","Glucose Tolerance Test (GTT)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB101","255.00"
"105","Triple Marker Test (AFP,HCG,UE3)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB102","1275.00"
"106","Creatine Phosphokinase (CPK)/Creatine Kinase (CK)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB103","196.00"
"107","Foetal Haemoglobin (HbF)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB104","425.00"
"108","Prothrombin Time (PT)/ International normalized ratio (INR)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB105","213.00"
"109","Lactate dehydrogenase (LDH)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB106","187.00"
"110","Alkaline Phosphatase","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB107","128.00"
"111","Acid Phosphatase","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB108","128.00"
"112","CPK MB/CK MB","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB109","306.00"
"113","CK MB Mass/CPK MB Mass","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB110","306.00"
"114","Troponin I","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB111","595.00"
"115","Troponin T","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB112","595.00"
"116","Glucose-6-Phosphate Dehydrogenase (G6PD)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB113","255.00"
"117","Lithium","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB114","298.00"
"118","Dilantin (Phenytoin)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB115","510.00"
"119","Carbamazepine.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB116","595.00"
"120","Cyclosporine","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB117","2125.00"
"121","Valproic acid.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB118","510.00"
"122","Blood gas analysis / Arterial Blood Gas (ABG)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB119","476.00"
"123","Blood gas analysis / Arterial Blood Gas (ABG) with electrolytes","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB120","680.00"
"124","Urine Pregnancy Test(UPT)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB121","85.00"
"125","Glycosylated Haemoglobin (HbA1c)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB122","255.00"
"126","Kidney Function Test (KFT)- (Sr.Creatinine,Blood Urea,BUN,Sr.Uric Acid,Sr.Sodium,Sr.Potassium,Urine R/E)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB123","425.00"
"127","Liver Function Test (LFT)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB124","425.00"
"128","Lipid Profile (Total cholesterol ,Triglycerides, LDL, HDL,VLDL)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB125","417.00"
"129","Serum Ferritin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB126","298.00"
"130","Vitamin B12 Assay.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB127","510.00"
"131","Folic Acid Assay.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB128","553.00"
"132","Extended Lipid Profile. (Total cholesterol, LDL,HDL, Triglycerides Apo A1, Apo B,Lp (a) )","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB129","850.00"
"133","Apolipoprotein A1 (ApoA1)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB130","340.00"
"134","Apolipoprotein B (Apo B)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB131","340.00"
"135","Lipoprotein A / Lp A","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB132","340.00"
"136","CD 3,4 and 8 Counts","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB133","1054.00"
"137","CD 3,4 and 8 Percentage","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB134","1284.00"
"138","Low Density Lipoprotein (LDL)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB135","128.00"
"139","Homocysteine","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB136","553.00"
"140","Serum Electrophoresis","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB137","595.00"
"141","Fibrinogen","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB138","425.00"
"142","Gamma-Glutamyl Transpeptidase (GGTP)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB139","128.00"
"143","Fructosamine","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB140","425.00"
"144","Beta 2 microglobulin (B2M) /_2 microglobulin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB141","510.00"
"145","Prostate Specific Antigen (PSA)- Total","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB142","404.00"
"146","Prostate-Specific Antigen (PSA) - Free","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB143","680.00"
"147","Alpha Fetoprotein (AFP)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB144","468.00"
"148","Human Chorionic Gonadotropin (HCG)/ Beta HCG","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB145","383.00"
"149","Cancer Antigen 125 (CA 125)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB146","680.00"
"150","Cancer Antigen 19.9 (CA 19.9)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB147","680.00"
"151","Cancer Antigen 15.3 (CA 15.3)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB148","680.00"
"152","Vanillylmandelic Acid (VMA)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB149","1360.00"
"153","Calcitonin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB150","1020.00"
"154","Carcinoembryonic Antigen (CEA)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB151","510.00"
"155","Direct Immunofluorescence (Skin and Kidney Disease etc)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB152","1020.00"
"156","Indirect (anti ds DNA Anti Smith ANCA)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB153","1020.00"
"157","Calcidiol / 25-hydroxycholecalciferol / Vitamin D3 assay (Vit D3)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB154","850.00"
"158","Serum Protein electrophoresis with immunofixation electrophoresis (IFE)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB155","595.00"
"159","Anti-Cyclic Citrullinated Peptide (Anti CCP)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB156","765.00"
"160","Anti-tissue Transglutaminase antibody (Anti TTG Antibody) / Tissue Transglutaminase IgA (tTg-IgA)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB157","680.00"
"161","Serum Erythropoietin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB158","1020.00"
"162","Adrenocorticotropic Hormone (ACTH)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB159","1020.00"
"163","T3, T4, TSH -Thyroid Function Test (TFT)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB160","383.00"
"164","Thyroid stimulating hormone (TSH)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB161","170.00"
"165","Luteinizing hormone (LH)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB162","340.00"
"166","Follicle stimulating hormone (FSH)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB163","340.00"
"167","Prolactin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB164","340.00"
"168","Cortisol","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB165","468.00"
"169","PTH(Parathormone)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB166","850.00"
"170","C-Peptide (Connecting Peptide)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB167","638.00"
"171","Insulin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB168","425.00"
"172","Progesterone","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB169","340.00"
"173","17 Hydroxyprogesterone (17 OH Progesterone)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB170","638.00"
"174","Dehydroepiandrosterone sulfate (DHEAS)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB171","850.00"
"175","Androstenedione","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB172","850.00"
"176","Growth Hormone","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB173","510.00"
"177","Thyroid peroxidase antibody (TPO)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB174","595.00"
"178","Thyroglobulin.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB175","595.00"
"179","Hydatid Serology","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB176","697.00"
"180","Anti Sperm Antibodies.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB177","765.00"
"181","Hepatitis B Virus (HBV) DNA Qualitative","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB178","2125.00"
"182","Hepatitis B Virus (HBV) DNA Quantitative.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB179","2975.00"
"183","Hepatitis C Virus (HCV) RNA Qualitative.","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB180","2550.00"
"184","Human papillomavirus (HPV) Serology","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB181","1360.00"
"185","Rota Virus serology","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB182","340.00"
"186","Mantoux Test","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB183","170.00"
"187","ADA( Adenosine deaminase)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB184","553.00"
"188","GeneXpert Test (Tuberculosis)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB185","880.00"
"189","QuantiFERON TB Gold","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB186","2125.00"
"190","PCR for Tuberculosis (TB)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB187","1020.00"
"191","PCR for Human immunodeficiency virus (HIV)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB188","1530.00"
"192","Chlamydia antigen","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB189","850.00"
"193","Chlamydia antibody","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB190","723.00"
"194","Brucella serology","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB191","383.00"
"195","Influenza A serology","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB192","850.00"
"196","Acetylcholine receptor (AChR) antibody titre","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB193","3825.00"
"197","Anti muscle specific receptor tyrosine kinase (Anti MuSK) antibody titre","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB194","5695.00"
"198","Serum Copper","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB195","553.00"
"199","Serum Ceruloplasmin","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB196","553.00"
"200","Urinary copper","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB197","714.00"
"201","Serum phenobarbitone level","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB198","510.00"
"202","Coagulation profile","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB199","638.00"
"203","D-Dimer","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB200","425.00"
"204","CSF/Any Body Fluid for Basic studies including cell count, protein, sugar, gram stain, India Ink preparation and smear for AFB","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB201","298.00"
"205","PCR for Herpes simplex","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB202","1190.00"
"206","Bacterial culture and sensitivity - Aerobic","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB203","391.00"
"207","Bacterial culture and sensitivity - Anaerobic","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB204","595.00"
"208","Mycobacterial culture and sensitivity","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB205","468.00"
"209","Fungal culture","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB206","421.00"
"210","Anti measles antibody titre (with serum antibody titre)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB207","1020.00"
"211","Viral culture","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB208","510.00"
"212","Antibody titre (Herpes simplex, cytomegalovirus, flavivirus, zoster varicella virus)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB209","1785.00"
"213","Oligoclonal bands (OCBs)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB210","1913.00"
"214","Myelin basic protein (MBP)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB211","2975.00"
"215","Cryptococcal antigen","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB212","1275.00"
"216","D Xylose test","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB213","935.00"
"217","Faecal / Faecal fat test/ faecal chymotrypsin/ faecal elastase","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB214","850.00"
"218","H pylori serology for Coeliac disease /Celiac disease","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB215","1020.00"
"219","HBV genotyping","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB216","2444.00"
"220","HCV genotyping","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB217","4765.00"
"221","Urinary Vanillylmandelic Acid (VMA)","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB218","1857.00"
"222","Urinary metanephrine/Normetanephrine","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB219","2465.00"
"223","Urinary free catecholamine","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB220","2125.00"
"224","Serum aldosterone","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB221","1530.00"
"225","24 Hr urinary aldosterone","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB222","1275.00"
"226","Plasma renin activity","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB223","1360.00"
"227","Serum aldosterone/renin ratio","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB224","1275.00"
"228","Osmolality urine","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB225","383.00"
"229","Osmolality serum","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB226","383.00"
"230","Urinary sodium","Laboratory Investigation","TIER I","NON NABH","PRIVATE WARD","LB227","128.00"
